time	best_bid	best_ask
981.222	15.06	15.07
981.323	15.06	15.07
981.422	15.06	15.07
981.521	15.06	15.07
981.823	15.06	15.07
982.524	15.06	15.07
982.623	15.06	15.07
982.724	15.06	15.07
982.823	15.06	15.07
982.923	15.06	15.07
983.023	15.06	15.07
983.925	15.06	15.07
984.125	15.06	15.07
984.226	15.06	15.07
984.326	15.06	15.07
984.426	15.07	15.08
984.529	15.07	15.08
984.625	15.07	15.08
984.724	15.07	15.08
984.827	15.07	15.08
984.925	15.07	15.08
985.125	15.07	15.08
985.224	15.07	15.08
985.425	15.07	15.08
985.524	15.07	15.08
985.624	15.07	15.08
985.725	15.07	15.08
986.324	15.07	15.08
986.725	15.07	15.08
987.025	15.07	15.08
987.126	15.07	15.08
987.225	15.07	15.08
987.325	15.07	15.08
987.426	15.07	15.08
987.528	15.07	15.08
987.727	15.07	15.08
987.826	15.07	15.08
987.925	15.07	15.08
988.325	15.07	15.08
988.428	15.07	15.08
988.526	15.07	15.08
988.627	15.07	15.08
988.727	15.07	15.08
989.028	15.07	15.08
989.225	15.07	15.08
989.626	15.07	15.08
989.727	15.07	15.08
989.928	15.07	15.08
990.027	15.07	15.08
990.127	15.07	15.08
990.227	15.07	15.08
990.327	15.07	15.08
990.427	15.07	15.08
990.527	15.07	15.08
990.629	15.07	15.08
990.727	15.07	15.08
990.828	15.07	15.08
990.928	15.07	15.08
991.028	15.07	15.08
991.327	15.07	15.08
991.427	15.07	15.08
991.526	15.07	15.08
991.727	15.07	15.08
991.929	15.07	15.08
992.03	15.07	15.08
992.128	15.07	15.08
992.332	15.07	15.08
992.528	15.07	15.08
992.726	15.07	15.08
992.828	15.07	15.08
992.927	15.07	15.08
993.128	15.07	15.08
993.228	15.07	15.08
993.329	15.07	15.08
993.43	15.07	15.08
993.528	15.07	15.08
993.629	15.07	15.08
993.729	15.07	15.08
993.829	15.07	15.08
994.429	15.07	15.08
994.528	15.07	15.08
994.93	15.07	15.08
995.628	15.07	15.08
995.729	15.07	15.08
996.53	15.07	15.08
996.73	15.07	15.08
996.93	15.07	15.08
997.73	15.07	15.08
997.829	15.07	15.08
998.231	15.07	15.08
998.53	15.07	15.08
998.63	15.07	15.08
998.731	15.07	15.08
998.83	15.07	15.08
998.931	15.07	15.08
999.031	15.07	15.08
999.131	15.07	15.08
999.23	15.07	15.08
999.331	15.07	15.08
999.432	15.07	15.08
999.631	15.07	15.08
999.73	15.07	15.08
999.931	15.07	15.08
1000.03	15.07	15.08
1000.131	15.07	15.08
1000.431	15.07	15.08
1000.632	15.07	15.08
1000.73	15.07	15.08
1000.832	15.07	15.08
1001.233	15.07	15.08
1001.332	15.07	15.08
1001.733	15.07	15.08
1002.032	15.07	15.08
1002.435	15.07	15.08
1002.633	15.07	15.08
1002.732	15.07	15.08
1002.933	15.07	15.08
1003.033	15.07	15.08
1003.133	15.07	15.08
1003.733	15.07	15.08
1004.635	15.07	15.08
1004.935	15.07	15.08
1005.134	15.07	15.08
1005.635	15.07	15.08
1006.636	15.07	15.08
1007.136	15.07	15.08
1007.237	15.07	15.08
1007.336	15.07	15.08
1007.436	15.07	15.08
1007.635	15.07	15.08
1007.84	15.07	15.08
1008.136	15.07	15.08
1008.337	15.07	15.08
1008.439	15.08	15.09
1008.538	15.08	15.09
1008.638	15.08	15.09
1008.736	15.08	15.09
1008.841	15.08	15.09
1008.938	15.08	15.09
1009.037	15.08	15.09
1009.138	15.08	15.09
1009.237	15.08	15.09
1009.339	15.08	15.09
1009.437	15.08	15.09
1009.538	15.08	15.09
1009.636	15.08	15.09
1009.845	15.08	15.09
1009.94	15.08	15.09
1010.042	15.08	15.09
1010.139	15.08	15.09
1010.239	15.08	15.09
1010.34	15.08	15.09
1010.54	15.08	15.09
1010.637	15.08	15.09
1010.74	15.08	15.09
1010.846	15.08	15.09
1011.04	15.08	15.09
1011.139	15.08	15.09
1011.638	15.08	15.09
1011.739	15.08	15.09
1012.038	15.08	15.09
1012.138	15.08	15.09
1012.24	15.08	15.09
1012.338	15.08	15.09
1012.442	15.08	15.09
1012.542	15.08	15.09
1012.641	15.08	15.09
1012.74	15.08	15.09
1012.844	15.08	15.09
1012.939	15.08	15.09
1013.04	15.08	15.09
1013.14	15.08	15.09
1013.541	15.08	15.09
1013.64	15.08	15.09
1014.239	15.08	15.09
1014.339	15.08	15.09
1014.539	15.08	15.09
1014.643	15.07	15.08
1014.744	15.07	15.08
1014.844	15.07	15.08
1015.041	15.07	15.08
1015.14	15.07	15.08
1015.241	15.08	15.09
1015.341	15.08	15.09
1015.439	15.08	15.09
1015.539	15.08	15.09
1015.64	15.08	15.09
1015.842	15.08	15.09
1016.141	15.08	15.09
1016.24	15.08	15.09
1016.339	15.08	15.09
1016.439	15.08	15.09
1016.54	15.08	15.09
1016.642	15.08	15.09
1016.743	15.08	15.09
1016.847	15.08	15.09
1016.941	15.08	15.09
1017.142	15.08	15.09
1017.24	15.08	15.09
1017.543	15.08	15.09
1017.741	15.08	15.09
1017.842	15.08	15.09
1017.944	15.07	15.08
1018.042	15.07	15.08
1018.144	15.07	15.08
1018.245	15.07	15.08
1018.343	15.07	15.08
1018.443	15.07	15.08
1018.543	15.07	15.08
1018.641	15.07	15.08
1018.741	15.07	15.08
1018.844	15.07	15.08
1018.942	15.07	15.08
1019.043	15.07	15.08
1019.142	15.07	15.08
1019.543	15.07	15.08
1019.644	15.07	15.08
1019.743	15.07	15.08
1019.845	15.07	15.08
1019.943	15.07	15.08
1020.044	15.07	15.08
1020.144	15.07	15.08
1020.243	15.07	15.08
1020.342	15.07	15.08
1020.443	15.07	15.08
1020.843	15.07	15.08
1021.143	15.07	15.08
1021.245	15.07	15.08
1021.346	15.08	15.09
1021.444	15.08	15.09
1021.543	15.08	15.09
1021.643	15.08	15.09
1021.745	15.08	15.09
1021.844	15.08	15.09
1021.945	15.08	15.09
1022.044	15.08	15.09
1022.145	15.08	15.09
1022.244	15.08	15.09
1022.344	15.08	15.09
1022.442	15.08	15.09
1022.544	15.08	15.09
1022.644	15.08	15.09
1022.845	15.08	15.09
1022.944	15.08	15.09
1023.045	15.08	15.09
1023.145	15.08	15.09
1023.245	15.08	15.09
1023.344	15.08	15.09
1023.444	15.08	15.09
1023.645	15.08	15.09
1024.449	15.08	15.09
1024.549	15.08	15.09
1024.648	15.08	15.09
1024.747	15.08	15.09
1025.246	15.08	15.09
